go_term,bg_count,top_count,p_value,q_value
protein binding,31600,811,0.0,0.0
nucleoplasm,8880,360,1.1773343829013782e-195,3.525527809598177e-192
chromatin,2855,185,4.689498719493026e-129,9.361802610347912e-126
positive regulation of transcription by RNA polymerase II,3865,187,3.3882080343186567e-108,5.072994479383609e-105
nucleus,37585,514,2.670104169438387e-90,3.1982507741533e-87
positive regulation of DNA-templated transcription,2384,135,1.0595332381246041e-85,1.0575907605213756e-82
regulation of transcription by RNA polymerase II,6710,207,2.407827742582826e-84,2.0600686214755065e-81
cytosol,17099,326,5.594191118223096e-83,4.187951325879765e-80
cytoplasm,31423,432,5.5544357267229694e-71,3.6961683963715407e-68
negative regulation of transcription by RNA polymerase II,3463,139,2.6335753660194953e-69,1.577248286709076e-66
RNA polymerase II cis-regulatory region sequence-specific DNA binding,4886,160,9.235078842798665e-68,5.028080653592837e-65
"DNA-binding transcription factor activity, RNA polymerase II-specific",5003,157,5.900027398246561e-64,2.944605340674888e-61
regulation of DNA-templated transcription,6896,180,9.266179401839193e-62,4.268857572124225e-59
"DNA-binding transcription activator activity, RNA polymerase II-specific",1480,88,2.187620534108889e-57,9.35832812769867e-55
sequence-specific double-stranded DNA binding,1337,82,1.562247032685119e-54,6.237531652500785e-52
glutamatergic synapse,1573,87,3.486124692804918e-54,1.304900049075541e-51
DNA-binding transcription factor activity,4631,137,1.346431125245421e-52,4.743397652408722e-50
chromatin binding,1828,90,7.445148688820634e-52,2.4771664165192656e-49
negative regulation of DNA-templated transcription,2030,92,5.353620825761734e-50,1.6875176381835276e-47
extracellular exosome,2471,100,6.046066085649582e-50,1.8104944893477673e-47
DNA binding,6764,157,4.2964107183439817e-47,1.225295418674386e-44
identical protein binding,4714,124,2.6260998255472397e-42,7.148959934182918e-40
sequence-specific DNA binding,2396,87,6.887952660435776e-40,1.7935629775369504e-37
signal transduction,5244,125,2.1795870058732944e-38,5.438977740906317e-36
protein phosphorylation,1837,75,8.240396892208912e-38,1.974069479497567e-35
dendrite,1655,69,2.0927622497270182e-35,4.820597351390428e-33
protein-containing complex,2102,74,3.646571790841536e-33,8.08863646494443e-31
transcription regulator complex,962,52,3.0056919572596227e-32,6.428960404295671e-30
nervous system development,1399,60,1.436747304765281e-31,2.9671308993928506e-29
DNA-binding transcription factor binding,490,39,1.04427216069195e-30,2.0847153234613627e-28
RNA polymerase II-specific DNA-binding transcription factor binding,533,40,1.7879379400891734e-30,3.4541807494174384e-28
RNA polymerase II transcription regulatory region sequence-specific DNA binding,1584,62,2.058617496658393e-30,3.8528313085897238e-28
plasma membrane,25439,295,4.216144968514739e-30,7.651664308010537e-28
protein kinase binding,1456,59,8.985287115782686e-30,1.5827318981300739e-27
transcription cis-regulatory region binding,1649,62,1.8129664996967444e-29,3.102244676195372e-27
synapse,2529,75,6.831175756794343e-29,1.1364419890955923e-26
protein homodimerization activity,2072,67,5.238058855819644e-28,8.478576888514555e-26
"DNA-binding transcription repressor activity, RNA polymerase II-specific",1143,51,8.686263987274079e-28,1.3690009215732753e-25
negative regulation of cell population proliferation,1005,48,1.6743383555593804e-27,2.571182669601315e-25
focal adhesion,783,41,3.5727270096470623e-25,5.349265515194065e-23
chromatin remodeling,1309,51,3.951924994551687e-25,5.7727021444805e-23
postsynaptic density,790,41,4.992799852528501e-25,7.119494837331712e-23
positive regulation of gene expression,1357,51,1.956879645594437e-24,2.725523766852345e-22
axon,1608,55,2.5373911389893835e-24,3.4537353480471405e-22
transcription coactivator activity,982,44,3.2215917239754227e-24,4.28758062997529e-22
RNA binding,5049,99,4.721355143234968e-24,6.146999120181353e-22
enzyme binding,1007,44,8.657590261223964e-24,1.086451512695697e-21
signaling receptor complex,494,33,8.707575990882194e-24,1.086451512695697e-21
multicellular organism development,205,24,2.0180358004967684e-23,2.4665339610561523e-21
nuclear body,827,40,2.4660609340983548e-23,2.9538477868630095e-21
cytoskeleton,3217,76,2.978647535584683e-23,3.4978666844346405e-21
cadherin binding,487,32,6.847176550125057e-23,7.886103915134417e-21
neuron projection,1259,47,1.6926437373706036e-22,1.912687423228782e-20
postsynaptic membrane,878,40,2.1377061721293615e-22,2.3329291933675977e-20
protein kinase activity,2852,70,2.1424462453701434e-22,2.3329291933675977e-20
perinuclear region of cytoplasm,2045,59,2.30746591719288e-22,2.4677523889407424e-20
axon guidance,829,38,1.9543776223372507e-21,2.05346799652242e-19
negative regulation of apoptotic process,1671,52,2.908475536101837e-21,3.003251721674811e-19
regulation of gene expression,1490,49,4.294539717703517e-21,4.3593217575129425e-19
transcription coregulator activity,652,34,4.7130542602130494e-21,4.704413660735992e-19
intracellular signal transduction,1847,54,8.00008039674088e-21,7.854505163291988e-19
protein serine kinase activity,1107,42,1.6844982490104914e-20,1.6271709698909409e-18
positive regulation of cell population proliferation,1509,47,2.3525648973941425e-19,2.2364303445227808e-17
transcription coactivator binding,141,18,1.3031744185816046e-18,1.2194861863883172e-16
protein domain specific binding,640,31,2.054754123198708e-18,1.8932188375133943e-16
positive regulation of miRNA transcription,122,17,2.548595979924075e-18,2.312657776328074e-16
cell surface,2085,52,3.242644177576165e-17,2.898536713358754e-15
dendritic spine,473,26,5.569648800760447e-17,4.9053862746697526e-15
nuclear speck,1174,38,1.9506376152320895e-16,1.6930969098007226e-14
actin cytoskeleton organization,818,32,2.560120373419831e-16,2.190365845201624e-14
cell differentiation,1759,46,3.9820489465366e-16,3.323616764792691e-14
positive regulation of cell migration,719,30,3.9956655045094966e-16,3.323616764792691e-14
regulation of small GTPase mediated signal transduction,197,18,5.449754295969366e-16,4.471038147748018e-14
postsynapse,786,31,5.998897631836487e-16,4.855053772576854e-14
adherens junction,678,29,6.529094752893997e-16,5.145098483563441e-14
cell-cell junction,678,29,6.529094752893997e-16,5.145098483563441e-14
ATP binding,7007,102,8.135403103105081e-16,6.32765314084368e-14
chromatin DNA binding,317,21,1.389160474432739e-15,1.0666259078689326e-13
beta-catenin binding,322,21,1.8959887751483363e-15,1.4373514904257452e-13
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,502,25,2.1232472437650915e-15,1.5895159678636415e-13
Schaffer collateral - CA1 synapse,258,19,4.5441542420069666e-15,3.359869105602435e-13
protein tyrosine kinase activity,520,25,4.723875556706704e-15,3.450157403550787e-13
regulation of apoptotic process,794,30,5.421745045033327e-15,3.912148322253566e-13
neuronal cell body,1450,40,6.0941914937609924e-15,4.345013435254117e-13
cis-regulatory region sequence-specific DNA binding,301,20,6.192527532117655e-15,4.3631820458650155e-13
cell surface receptor protein tyrosine kinase signaling pathway,432,23,6.819226505536514e-15,4.748877621123045e-13
negative regulation of cell growth,270,19,1.038832512665728e-14,7.151227492362121e-13
transcription corepressor activity,706,28,1.3332004179102244e-14,9.073337844164015e-13
chromosome,2197,49,1.8288284966185228e-14,1.2306577377807115e-12
positive regulation of cold-induced thermogenesis,211,17,2.8391069103898948e-14,1.8892679207027867e-12
DNA damage response,1388,38,3.668045144365528e-14,2.414057403253313e-12
brain development,808,29,5.563250513719113e-14,3.6215551442025833e-12
heart development,870,30,5.731317914062367e-14,3.690845482507475e-12
