symbol,unique_domain_count,domain_list,total_raw_traits
APOE,8,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",2138
ABO,8,"Metabolic_and_Lipid, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hepatic_and_Renal",1873
FADS2,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",1865
CFH,8,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Cardiovascular, Neurological_and_Psychiatric",1856
GCKR,8,"Hepatic_and_Renal, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological, Cardiovascular, Cancer_and_Neoplasm",1680
HLA-DQA1,8,"Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hepatic_and_Renal, Metabolic_and_Lipid, Hematological, Anthropometric_and_Skeletal, Cardiovascular",1600
ARHGEF3,8,"Hematological, Cardiovascular, Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",1553
SARM1,8,"Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal, Hematological",1539
VTN,8,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hepatic_and_Renal, Hematological, Cardiovascular",1442
FADS1,8,"Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological, Cancer_and_Neoplasm, Cardiovascular, Hepatic_and_Renal",1373
ZPR1,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",1328
APOC1,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal, Immune_and_Autoimmune",1315
ALDH1A2,8,"Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hepatic_and_Renal",1297
TRIB1AL,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",1249
HLA-DRB1,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal, Hematological, Cardiovascular, Anthropometric_and_Skeletal",1176
JMJD1C,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular",1171
LPL,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hepatic_and_Renal, Hematological, Cancer_and_Neoplasm",1147
CETP,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm, Hematological",1035
LIPC,8,"Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hepatic_and_Renal",1027
ATXN2,8,"Cardiovascular, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Hepatic_and_Renal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",1022
TMEM258,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal, Cancer_and_Neoplasm",942
CELSR2,8,"Metabolic_and_Lipid, Cardiovascular, Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune",937
SLC39A8,8,"Metabolic_and_Lipid, Cardiovascular, Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm",902
PPP1R3B-DT,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune, Cardiovascular, Cancer_and_Neoplasm",896
HERPUD1,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hematological",885
HLA-B,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hepatic_and_Renal",819
ZFPM2,8,"Metabolic_and_Lipid, Hematological, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hepatic_and_Renal, Anthropometric_and_Skeletal",813
DOCK7,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological, Cardiovascular, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",796
NYAP2,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hepatic_and_Renal",788
MIR5702,8,"Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Immune_and_Autoimmune",762
HLA-DQB1,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm, Hematological, Cardiovascular",760
RSPO3,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Hematological, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm",706
C5orf67,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune",697
ZFPM2-AS1,8,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Hepatic_and_Renal, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal",694
ST3GAL4,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Cardiovascular, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm",689
GALNT2,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hepatic_and_Renal",658
SERPINA1,8,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm",658
VEGFA,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",657
FTO,8,"Hepatic_and_Renal, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric",648
SH2B3,8,"Metabolic_and_Lipid, Cardiovascular, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal, Neurological_and_Psychiatric",648
MYRF,8,"Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological, Metabolic_and_Lipid, Cancer_and_Neoplasm, Cardiovascular, Hepatic_and_Renal",645
VCAN,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hepatic_and_Renal, Hematological",595
LINC02537,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric, Cancer_and_Neoplasm",593
FUT2,8,"Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Cardiovascular, Immune_and_Autoimmune, Hepatic_and_Renal, Anthropometric_and_Skeletal",577
LINC01322,8,"Cardiovascular, Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal, Immune_and_Autoimmune",566
TRPS1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal",556
CMIP,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal",553
APOH,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular, Anthropometric_and_Skeletal, Hepatic_and_Renal, Neurological_and_Psychiatric, Cancer_and_Neoplasm",552
ATP5PBP6,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal, Immune_and_Autoimmune, Cancer_and_Neoplasm",544
LINC01625,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal, Immune_and_Autoimmune, Cancer_and_Neoplasm",536
MAFB,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",532
LINC02577,8,"Immune_and_Autoimmune, Cardiovascular, Hematological, Hepatic_and_Renal, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",525
LINC01370,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal, Cardiovascular, Neurological_and_Psychiatric",523
HNF1A,8,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune, Anthropometric_and_Skeletal",519
CCDC71L,8,"Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric",517
AFF1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular",515
CDKN2B-AS1,8,"Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hematological, Hepatic_and_Renal",506
PNPLA3,8,"Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",503
TSBP1-AS1,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",494
LINC02571,8,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hepatic_and_Renal, Neurological_and_Psychiatric",491
PPARG,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular, Neurological_and_Psychiatric",483
APOC1P1,8,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal",479
LINC-PINT,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hepatic_and_Renal",469
PSD3,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hematological, Immune_and_Autoimmune, Cardiovascular",466
CPS1,8,"Metabolic_and_Lipid, Hepatic_and_Renal, Immune_and_Autoimmune, Hematological, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",455
LIPG,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hematological, Cardiovascular, Anthropometric_and_Skeletal, Hepatic_and_Renal",454
HLA-C,8,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cardiovascular",443
POLR1HASP,8,"Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",441
KLF14,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal",422
MTCO3P1,8,"Immune_and_Autoimmune, Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric",379
HLA-DRB9,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal, Cardiovascular",377
TCF7L2,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hepatic_and_Renal",376
SNORD3P1,8,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hematological, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune",357
SCARB1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular, Immune_and_Autoimmune, Neurological_and_Psychiatric",350
HNF4A,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular, Anthropometric_and_Skeletal",348
HLA-DRA,8,"Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological, Cardiovascular",345
SUGP1,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Hematological, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm",338
CCDC26,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric, Cardiovascular",332
EBF1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal",330
LYPLAL1-AS1,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",320
HLA-DRB5,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Hepatic_and_Renal",319
